asin,Name,Price,Avg Rating,# of Ratings
B08QYWD25C,Ned-Rig-Kit-Finesse-Baits-Soft-Plastic-Worms-Fising-Lure for Bass Stick Swimbait Minnow Crawfish Lures Shroom Ned Jig Head Kit,19.99,4.4,402
B09XMKMNQK,"Soft Plastic Bait Bass Fishing Lure,Tail Craw,Great for Flipping and Pitching and as a Jig Trailer by JoyFishing,10 per Pack,4 Inch Length Rage Twin Tail Menace Grub Bait",13.49,4.5,3
B0B465NXX3,Drop Shot Baits Finesse Fishing Worms for Bass Fishing Soft Plastic Worms Drop Shot Rig Rubber Worm Straight Tail Stick Bait Shaky Head Lures Wacky Rig Black Green Pumpkin Lure Watermelon Oxblood Red Alive Shad 22 piece Kit 10 Bodies 6 Hooks 6weights,6.99,4.5,27
B076BJM1HY,YUM Finesse Worm Soft Plastic Bait Worm Bait Fishing Lure,3.19,4.6,83
B09H5RP7MC,"Bombrooster Fluke Baits Paddle Tail Swimbaits, 15pcs/25pcs/30pcs/40pcs Soft Plastic Lures Jerkbait for Bass Fishing",16.99,4.4,114
B07H9Q88M8,"Fishing Lures Bass Worm Bait, 50PCS Soft Plastic Fishing Lures T-Tail Grub Worm Baits Fish Tackle Accessory for Saltwater Freshwater Trout Bass Fishing",6.75,4.0,75
B09BDVRQL9,OROOTL Squid Skirt Saltwater Octopus Lures Soft Plastic Fishing Lures Kit Glow Squid Trolling Lure Skirts for Sea Bass Salmon Trout Tuna 7cm 9cm 11cm,10.99,4.4,34
B09SXZ6G9B,5Pcs Crawfish Lures for Bass Soft Plastic Fishing Lures Baits Worm Crawfish Lures Fishing Lures for Bass Fishing Bass Bait,9.99,4.5,2
B0927SFGNZ,Soft Plastiс Mold Lure Making Injection Molds Fishing Lures Yamamoto Zako 4'',24.99,4.3,12
B09XF9DPS4,"KISREL Fishing Lures, Soft Bionic Fishing Lure for Bass Trout Crappie, Fishing Bait for Saltwater Freshwater, Fishing Lures Kits",9.99,3.7,83
B07DYV4N3T,Soft Plastiс Mold Lure Making Injection Molds Fishing Lures V22,15.0,3.2,14
B085D9N8FJ,Bobby Garland Mo' Glo Slab Slay'R Glow-in-The-Dark Soft Plastic Crappie Fishing Lure,4.29,4.6,26
B095KB177B,Funzhan 50Pcs Soft Lures Swimbaits Fishing Bass Plastic Paddle Tail Luya Bait Portable Box Proven Colors for Trout Salmon Redfish Freshwater Saltwater,11.99,4.1,128
B08JVDFXQD,FISHIN ADDICT Nano-Cray 40mm (1.5'') Crayfish Bug Micro Fishing Lure Soft Plastic - 10 Pack,6.99,3.9,11
B09V11M8V9,Piscorush Luminous Octopus Squid Skirts Trolling Lures Soft Plastic Fishing Lures Set Saltwater Bait Lures Multicolored 2'' - 6'',11.99,5.0,3
B07QYDHTGQ,"Senko-Worms-Bass-Fishing-Lure-Kit-Wacky-Rig-Worms-Soft-Plastic-Stick-Baits3 4"" 5"" 6 inch",17.99,4.4,1119
