asin,Name,Price,Avg Rating,# of Ratings
B0B5WPBS9P,"Drop Shot Swimbait Hooks,50pcs in-line Drop Shot Rig Hooks Swivel Soft Plastic Worm Hooks for Bass,Perch Fishing Size 2/0,3/0,4/0",11.99,3.7,8
B09V97PPSV,"Pure Crappie Pig Tail Pro - White/Chartreuse 2.5” - 20 Pack – Curly Tail Grub Lure Perfect Soft Plastic Artificial Bait for Crappie, Walleye, Smallmouth Bass and Many Species of Fish",9.99,3.5,2
B09WJNW4YZ,Nomad Design Slipstream 140 Flying Fish,39.99,4.5,9
B09C1YK3PM,"Soft Plastic Crawfish Bait Fishing Lure for Crappie, Bass, Bluegill, White Perch, Sunfish, Speckled Trout All Panfish Softlure Artificial Crayfish Lures Bait Drop Shot Rig Lure Slow Sinking",15.99,3.6,4
B0B1RPYSF5,"Pure Crappie Pig Tail - Pink/Chartreuse 2” - 20 Pack – Curly Tail Grub Lure Perfect Soft Plastic Artificial Bait for Crappie, Walleye, Smallmouth Bass and Many Species of Fish",9.99,3.5,2
B0B1QVSJ7P,"Pure Crappie Pig Tail Pro - Monkey Milk 2.5'' - 20 Pack – Curly Tail Grub Lure Perfect Soft Plastic Artificial Bait for Crappie, Walleye, Smallmouth Bass and Many Species of Fish, White, Chartreuse",9.99,4.0,1
B09WG1XZQB,Kalin's Tickle Shad Fishing Lure (8 Pack),8.99,4.9,11
B097DD32BB,BEARKING Fishing Lures 135mm 1oz Jointed Minnow Wobblers ABS Body with Soft Tail SwimBaits Soft Lure for Pike and bass,9.99,4.5,34
B09Q2S77LK,Frog Soft Fishing Lures 3Pcs Box Set Swimbaits for Bass Trout for Freshwater and Saltwater Fishing Gifts for Men,11.98,4.7,4
B09W5KYL3V,"Soft Bionic Fishing Lure, Artificial Fishing Lures for Saltwater & Freshwater, Fishing Equipment Lures Fishing Stuff Simulation Loach Soft Lure 8cm-7g Suitable for Fishing Lovers Outdoor (10PCS)",13.99,3.9,7
B09TPJ7NG2,"JoyFishing Top Water Frogs Bass Fishing Lures, Popping Frog Lures for Bass Fishing, Weedless Hollow Body Frogs Lures",11.89,4.8,5
B0B6WMC8Y1,"Topwater Soft Frog Fishing Baits for Bass Snakehead, Popper Mouth Bigger Spray More Attractive, 3D Eyes Lifelike Silicone Skin 2 Barbed Hooks, Fishing Lure Set for Bass Snakehead Pike Trout 8pcs",11.99,3.6,5
B09YHK7TK2,"Weighted Swimbait Hooks,Jig Heads Fishing Hooks with Twistlock,Soft Plastic Worm Fishing Hook 2g/2.5g/3g/5.25g/7g,JoyFishing Fishing Hooks Extra Wide Gap Hook with Lead",16.49,5.0,2
B09XF1F1QZ,"SONGTIY Soft Bionic Fishing Lure, 6PCS Realistic Swimming Loach Bait Lures, Saltwater & Freshwater Fishing Bait, Suitable for Fishing Lovers Outdoor",3.99,4.0,3
B09Y284H9P,"Frog Fishing Lure Kits with 5 Pcs of Frog Soft Baits,as Topwater Lures and Artificial Soft Baits for Bass Snakehead",9.99,5.0,1
B09QW3FN4X,"YUWOSUOYYE Saltwater Trolling Bait Kit (10"") Contains 1 jig Head and 3 PVC Bodies per Pack for Tuna Fishing.",19.9,4.0,1
B09TQW66ZB,"100Pack Soft Plastic Lures, T-Tail Soft Baits, Soft Paddle Tail Baits for Saltwater Freshwater",13.99,3.0,2
B09BMSKCJ8,"Honicol Fishing Lures for Bass Topwater Frog Lure - Weedless Lures Soft Plastic Fishing Bait, 5pcs Toad Lures with Tackle Box",19.99,3.7,4
B09X9RPZNL,QualyQualy Swim Baits Lures for Bass Fishing Worms for Bass Trout Walleye Soft Bait,10.99,4.0,2
B0B8CTY665,Innovative Soft Lures for Bass Fishing,7.98,5.0,1
B09TRQ42VK,FLE-FLY Crappie Kickers Soft Plastic Baits with Thin Vibrating Tail,6.49,4.5,47
B09R1R72M8,Fishing Lures Soft Lures Shrimp Bait Set for Freshwater Saltwater,16.99,5.0,1
B09VSWMJWM,"Soft Bionic Fishing Lure, Simulation Loach Plastic Shrimp Oil Smell Fishing Bait, Slow Sinking Bionic Swimming Lures for Saltwater & Freshwater",13.98,3.7,3
B09ZY9TGSK,Crappie-Baits- Plastics-Jig-Heads-Kit-Shad-Minnow-Fishing-Lures-for Crappie-Panfish-Bluegill-40 &135 Piece Kit,32.99,4.3,569
